name,is_master,is_candidat,year_start_in_hse,interests,languages,n_of_publications,unique_courses,link
Акоз Кемаль Киванч,1,1,2018,"Прикладная микроэкономическая теория, политическая экономика, отраслевые рынки","английский, турецкий, пекарский",7,"Contemporary Economics, International Economics, Исследовательский проектный семинар (НИС), Научно-исследовательский семинар (для исследовательского потока), Политическая экономика, Рolitical Economy, Экономика: проблемы, методы, решения-2",https://www.hse.ru/mirror/org/persons/redir/223725168?pl=
Арбатли Эким,1,1,2012,"демократизация, ресурсный национализм, гражданско-военные отношения, энергетическая политика, классификации политических режимов, гибридные режимы","турецкий, английский, французский, русский",15,"Comparative Politics, Current Trends in Political Science, Democracy and Democratization, Introduction to Political Science, Modern Political Science",https://www.hse.ru/mirror/org/persons/redir/61713365?pl=
Баженов Григорий Александрович,0,1,2024,"всеобщая экономическая история, макроэкономика, монетарная экономика, философия и методология экономической науки, методология экономической науки, экономическая теория, теория экономического роста, экономическая история России",английский,0,"Макроэкономика, Макроэкономика (продвинутый уровень), Макроэкономика 2, Микроэкономика, Экономика, Экономическая теория",https://www.hse.ru/mirror/org/persons/redir/209638517?pl=
Байссвенгер Мартин Эрвин,1,1,2013,"русская история, европейская история, интеллектуальная история, история русской эмиграции, история европейской интеграции","английский, немецкий, русский, чешский, французский, каменский",36,"Political Projects in the XX Сentury, Political projects of the XX century, Научно-исследовательский семинар, Новейшая мировая историография, ФРГ, ГДР, Австрия, Швейцария и Люксембург как варианты немецкого пути в XX веке",https://www.hse.ru/mirror/org/persons/redir/93759602?pl=
Баландин Юлиан Андреевич,1,0,2016,"российский политический режим, антикоррупционная политика, Региональная политика России, Политические элиты, вето-игроки",английский,4,"Политическая экспертиза, Политический менеджмент, Политическое управление, Современная российская политика, Современный GR:как все работает на практике",https://www.hse.ru/mirror/org/persons/redir/137284738?pl=
Баранова Татьяна Александровна,0,0,2018,"фонетика, фонетика и интонация английского языка, психология, Коммуникативная методика обучения иностранному языку., преподавание иностранных языков и культур, мотивация, корпоративная культура, ценностный подход, независимый контроль в языковом образовании, английский для специальных целей, методика преподавания","английский, французский",2,"English Language, English for General Academic Purposes. Advanced Course - 3, English for General Academic Purposes. Upper-Intermediate Course – 3, English for General Communication Purposes. Advanced Course - 1, English for General Communication Purposes. Advanced Course - 2, English for General Communication Purposes. Intermediate Course - 2, English for General Communication Purposes. Intermediate Course – 1, English for General Communication Purposes. Upper-Intermediate Course - 1, English for General Communication Purposes. Upper-Intermediate Course - 2, English for Specific Purposes. Art and Design - 3, International English Examinations Practice, Английский для начинающих, Английский язык",https://www.hse.ru/mirror/org/persons/redir/224906215?pl=
Борисенко Максим Сергеевич,0,0,2020,"федерализм, гражданское образование, многоуровневое управление, государственное управление, Европейский союз","английский, немецкий",1,"Comparative Politics, Contemporary Russian Politics, Research Seminar, Research Seminar: Digital Literacy, Research Seminar: Research Design",https://www.hse.ru/mirror/org/persons/redir/160957135?pl=
Бурова Маргарита Борисовна,1,0,2012,"нейронауки, анализ данных в социальных науках, статистический анализ данных, машинное обучение, высшее образование","русский, английский",2,"Computer Vision, Excel Skills for Business: Essentials, Excel for Data Analysis, Excel для анализа данных, Mentor's Seminar, Python Advanced, Python Basic, Python для извлечения и обработки данных, SQL, Введение в Data Science, Искусственный интеллект и большие данные, Культура работы с данными, Математика, Математические методы в психологии, Математическое введение в экономику, Научно-исследовательский семинар, Основы анализа данных в международных отношениях, Основы программирования на Python, Программирование на языке Python, Продвинутые методы анализа и визуализации данных в Python, Технологии анализа больших данных, Цифровая грамотность",https://www.hse.ru/mirror/org/persons/redir/46695224?pl=
Вольский Владимир Иванович,0,1,2008,"Теория индивидуального выбора, теория коллективного выбора, бинарные отношения",английский,10,"Decision systems, Инструментальные методы цифровой экономики, Количественные методы принятия управленческих решений, Коллективный выбор: теория и эмпирические исследования, Научно-исследовательский семинар ""Принятие решений - прикладные задачи 2"", Научно-исследовательский семинар ""Принятие решений - прикладные задачи"", Научно-исследовательский семинар ""Современные модели и методы принятия решений"" (4 курс), Принятие политико-управленческих решений, Продвинутые количественные методы принятия управленческих решений, Современные методы принятия решений и анализа данных, Специальные главы теории принятия решений, Теория и методы принятия решений о развитии экономики и общества, Теория принятия решений",https://www.hse.ru/mirror/org/persons/redir/5336818?pl=
Гайворонский Юрий Олегович,1,1,2011,электоральные исследования,английский,17,"Continuity and Change in Russian Politics, Current Trends in Political Science, Parties and Elections in Russian Regions, Political Science, Regional Dimension of Russian Politics, Regions of Russia and the World in Comparative Perspective, Научно-исследовательский семинар, Научно-исследовательский семинар: презентации проектов курсовых работ, Основы российской государственности, Политическая наука, Политическая регионалистика, Российские политические процессы на субнациональном уровне, Семинар наставника, Современная российская политика",https://www.hse.ru/mirror/org/persons/redir/25907562?pl=
Гулевич Ольга Александровна,0,1,2005,"политическая психология, психология межгрупповых отношений, гендерная психология, психология массовых коммуникаций","русский, английский, испанский, португальский, немецкий",95,"Актуальные проблемы современной политики, Политическая психология, Психология интернет- взаимодействия, Психология интернет-коммуникации, Психология коммуникации, Психология массовой коммуникации, Психология массовых коммуникаций, Психология межгрупповых отношений",https://www.hse.ru/mirror/org/persons/redir/66960?pl=
Зарипов Никита Андреевич,0,0,2022,"политические институты и процессы в России, законотворческая деятельность, парламентская процедура, сети политики, постсоветское пространство, политические партии, политические режимы",английский,5,"Научно-исследовательский семинар, Научно-исследовательский семинар: Цифровая грамотность",https://www.hse.ru/mirror/org/persons/redir/225536027?pl=
Иванов Евгений Александрович,1,0,2012,"постсоветское пространство, евразийское пространство, Центральная Азия, Средняя Азия, отношения Россия - Центральная Азия, кавказоведение, Северный Кавказ","русский, английский, белорусский",33,"Comparative Politics, Research Seminar: Research Design, Transformations of Post-Soviet Space: Politics, Societies, Economies, Научно-исследовательский семинар, Политическое управление, Политология, Современная российская политика",https://www.hse.ru/mirror/org/persons/redir/46709161?pl=
Игнатьев Глеб Игоревич,0,0,2023,политические науки,"английский, русский, португальский",0,"Основы российской государственности, Политология, Современная политика",https://www.hse.ru/mirror/org/persons/redir/225538389?pl=
Иншаков Илья Александрович,1,0,2014,"политическая теория, политические идеологии, социология труда, социология науки",английский,16,"Methodology and Research Methods of Political Science and Economics, История политических учений, Научно-исследовательский семинар, Научно-исследовательский семинар - 3, Основания нормативного мышления о современной политике, Политическая теория, Политология, Современные концепции политического",https://www.hse.ru/mirror/org/persons/redir/101522214?pl=
Карпич Юлия Владимировна,1,1,2019,Политика. Политические науки,английский,5,"Confessions, Churches, Diasporas: Religions and Religiosity in Modern Russia, Актуальные проблемы современной политики, Большие идеи в политике: актуальность несовременного, Научно-исследовательский семинар, Современная российская политика",https://www.hse.ru/mirror/org/persons/redir/190892405?pl=
Каспэ Святослав Игоревич,0,0,1999,"имперские политические системы, федерализм, Политические партии и партийные системы, политическая теология, политическая форма","английский, французский",43,"Большие идеи в политике: актуальность несовременного, Политика и религия, Политическое письмо, Политология, Человек и люди в политике-2",https://www.hse.ru/mirror/org/persons/redir/67280?pl=
Кондратьев Сергей Викторович,1,0,2023,"международные отношения, Глобальная климатическая политика, политическая система Германии","английский, немецкий",0,World Politics and International Relations,https://www.hse.ru/mirror/org/persons/redir/791144228?pl=
Кулиева Нубара Салман Кызы,1,0,2019,"Ближний Восток, Турция, Внешняя политика Турции, Военно-политические конфликты в регионе БВСА, Внутренняя и внешняя политика Партии справедливости и развития (ПСР)","английский, арабский, азербайджанский, турецкий",3,Ислам и политика,https://www.hse.ru/mirror/org/persons/redir/542007204?pl=
Ледяев Валерий Георгиевич,0,1,2005,"Власть, теория власти, социология власти",английский,64,"Contemporary Russian Society, Political Power: Theoretical Discourse and Research Models, Научно-исследовательский семинар ""Комплексный социальный анализ"", Политическая социология",https://www.hse.ru/mirror/org/persons/redir/131782?pl=
Локшин Илья Михайлович,1,1,2011,"Новая политическая экономия, политические режимы, политическая философия","английский, немецкий, французский, латинский, итальянский, древнегреческий",27,"Model Thinking, Research Seminar: Research Design, Большие идеи в политике: актуальность несовременного, Введение в современную политическую науку, История политических учений, Категории политической науки, Научно-исследовательский семинар, Современная политика",https://www.hse.ru/mirror/org/persons/redir/14276397?pl=
Лукьянов Григорий Валерьевич,1,0,2010,"Ближний Восток, Ливия, Центральная Азия","английский, французский, турецкий",46,"Russia and the Muslim World, World Politics and International Relations, Актуальные проблемы современной политики, Ислам и политика, Исламский фундаментализм в современном мире, История и политическая география Ближнего Востока и Северной Африки, Международные конфликты и миротворчество, Научно-исследовательский семинар ""Ключевые тенденции развития современного Ближнего Востока и Северной Африки"", Научно-исследовательский семинар «Понимание современного Ближнего Востока и Северной Африки», Научно-исследовательский семинар «Понимание современного Ближнего Востока и Южной Азии (арабские страны, Израиль, Иран, Турция)», Общество и политические режимы стран Ближнего Востока и Северной Африки, Общество и политические режимы стран Ближнего Востока и Южной Азии, Политическая география, Политическая история Ближнего Востока, Политическая история и современное развитие стран Ближнего Востока, Политические системы и политические культуры стран Ближнего Востока и Северной Африки, Политическое развитие стран Ближнего Востока, Региональная политика и проблемы этнокультурного разнообразия, Современная российская политика, Теория международных отношений",https://www.hse.ru/mirror/org/persons/redir/12701365?pl=
Макаренко Борис Игоревич,0,1,2011,политические партии,"английский, арабский, французский",42,"Continuity and Change in Russian Politics, Current Trends in Political Science, Explaining Contemporary Russian Politics: Institutions and Practices, Introduction to Contemporary Geopolitics, Mentor's Seminar, Актуальные проблемы современной политики, Институты и практики российской политики в сравнительной перспективе, Политические технологии в российской политике, Современная российская политика",https://www.hse.ru/mirror/org/persons/redir/17512797?pl=
Максименкова Марина Сергеевна,1,0,2010,"качественные методы, политические представления, политическая элита","английский, немецкий",10,"Введение в современную политическую науку, Государственная власть в РФ, Государственная власть в современной России, Коррупция в мировом политическом процессе, Научно-исследовательский семинар, Основы прикладных политических исследований и экспертизы, Политические исследования в интересах кандидатов и партий, Политические исследования и экспертиза в интересах органов власти, Политология, Человек и люди в политике-2",https://www.hse.ru/mirror/org/persons/redir/13871059?pl=
Малинова Ольга Юрьевна,0,1,2011,"символическая политика, политические идеологии, политика памяти, дискурсивные исследования, качественная методология политической науки, политика идентичности",английский,82,"Current Trends in Political Science, Postgraduate seminar, Research Seminar, Society and Health in Historical Perspective, The Technologies of Symbolic Policy, Theoretical and metodological problems of the qualitative methods research, Академическое письмо, Актуальные проблемы современной политики, Научно-исследовательский семинар, Основы российской государственности, Современная российская политика, Специальная дисциплина, Технологии символической политики",https://www.hse.ru/mirror/org/persons/redir/34164950?pl=
Мальцев Артем Михайлович,1,0,2015,"стратегическая международная безопасность, международные конфликты, контроль над вооружениями, военная мощь, миротворчество, теория демократического мира, европейская и международная безопасность, демократические институты, авторитарные режимы, выживание авторитарных режимов","английский, немецкий",4,"China and Russia: Great Powers in an Era of Global Disorder, Research Seminar: Research Design, Введение в прикладные методы сетевого анализа, Введение в современную политическую науку, Категории политической науки, Научно-исследовательский семинар, Политология",https://www.hse.ru/mirror/org/persons/redir/101533270?pl=
Медушевский Андрей Николаевич,0,1,1995,"философия права, социология права, сравнительное конституционное право, российский политический процесс","английский, немецкий, французский",213,"Research Seminar, Анализ нормативно-правовых актов и основы законотворчества, Конституционное право и политические институты, Научно-исследовательский семинар, Политология, Современная российская политика, Современное российское государство",https://www.hse.ru/mirror/org/persons/redir/67448?pl=
Мельвиль Андрей Юрьевич,0,1,2009,"Сравнительная политика, политические изменения, политическое развитие, демократизация, Сравнительный авторитаризм","английский, французский",92,"Актуальные проблемы современной политики, Категории политической науки, Сравнительная политика: институты и процессы",https://www.hse.ru/mirror/org/persons/redir/10444822?pl=
Миронова Анна Алексеевна,1,1,2011,экономическая демография,английский,47,"Демографические факторы социально-экономического развития, Научно-исследовательский семинар, Научно-исследовательский семинар ""Теория и методология демографических исследований"", Политическая демография, Старение населения в современном обществе, Экономическая демография",https://www.hse.ru/mirror/org/persons/redir/25918272?pl=
Нисневич Юлий Анатольевич,1,1,2004,"российский политический режим, политические институты и процессы в России, Государственная информационная политика Россиии, Законодательная деятельность как политико-правовой процесс, Проблемы противодействия коррупции, Постиндустриальный цивилизационный тразит, Современное государство: тенденции и проблемы развития, электронное государство, политико-антропологический подход","французский, английский",187,"Государственная власть в РФ, Государственная власть в современной России, Коррупция в мировом политическом процессе, Научно-исследовательский семинар, Политическая система современной России, Политические исследования в интересах кандидатов и партий, Политические исследования и экспертиза в интересах органов власти, Процесс принятия политического решения: агенты и технологии, Человек и люди в политике-2",https://www.hse.ru/mirror/org/persons/redir/67470?pl=
Окунев Игорь Юрьевич,0,1,2013,"политическая география, критическая геополитика, пространственный анализ","английский, французский, хинди",36,"Мир политики: системы, режимы, процессы, Политическая география, Политическая карта мира, Политологические идеи в географических исследованиях, Работа с данными и геопространственный анализ в задачах политических и экономических наук, Управление развитием территорий",https://www.hse.ru/mirror/org/persons/redir/74603170?pl=
Орлов Игорь Борисович,0,0,2002,"03.01.07 Методология и методы исследования исторической науки, 03.23.07 Историография и источниковедение истории России, 03.23.55 История России новейшего времени (с XX в.)",английский,150,"История России новейшего времени, Научно-исследовательский семинар-2, Политическая история России и зарубежных стран, Проектный семинар",https://www.hse.ru/mirror/org/persons/redir/67220?pl=
Паникар Марина Михайловна,0,1,2023,"Международные отношения в Арктическом регионе, Политика России в Арктическом регионе",английский,8,"International Relations in the Post-Soviet Space, International relations in the Arctic region, Russia's Policies in Asia, World Politics and International Relations, Политика и общество в европейских странах",https://www.hse.ru/mirror/org/persons/redir/856269813?pl=
Паршина Анастасия Алексеевна,1,0,2020,Анализ данных в Python и R,английский,0,"Математические модели политэкономии, Независимый экзамен по программированию. Базовый уровень, Основы прикладной математики и информатики, Основы программирования в Python, Основы программирования на Python, Основы программирования на языке Python, Прикладное программное обеспечение, Программирование на Python, Программирование на языке Python, Теория игр",https://www.hse.ru/mirror/org/persons/redir/190907907?pl=
Поляков Леонид Владимирович,0,0,2003,"история политических учений, политическая философия, политическое консультирование, политическая социология, политическая психология, методология политической науки",английский,47,"GR в современной России: теория и практика, Большие идеи в политике: актуальность несовременного, История политических учений, Основы российской государственности",https://www.hse.ru/mirror/org/persons/redir/67275?pl=
Порецкова Анастасия Анатольевна,1,1,2013,"политическая теория, политическая пропаганда, политические коммуникации, проблемы методологии",английский,21,"Modern Political Science, Political Science, Project Seminar, Research Seminar, Введение в гендерные исследования, Гендер и публичное управление, Качественные методы политических исследований, Медиа в сфере публичной политики, Научно-исследовательский семинар, Политический менеджмент, Принятие государственных решений в РФ, Теория и методология современной коммуникативистики",https://www.hse.ru/mirror/org/persons/redir/25922100?pl=
Прусова Ирина Сергеевна,1,1,2014,"социальная психология, политические представления, экспериментальная психология, теория управления страхом смерти","английский, русский",14,"Qualitative and Quantitative Research Methods in Psychology, Политическая психология и принятие политических решений, Психология, Психология агрессии, Психология коммуникации, Психология массовых коммуникаций, Психология спорта, Социальная психология, Теории и модели современной социальной психологии, Управление конфликтами",https://www.hse.ru/mirror/org/persons/redir/65844265?pl=
Родина Ольга Алексеевна,1,0,2023,"рождаемость в России, демография","английский, немецкий",2,"Demography, Демография, Политическая демография",https://www.hse.ru/mirror/org/persons/redir/824677029?pl=
Сальникова Дарья Вячеславовна,1,0,2011,сравнительные исследования,английский,14,"Mathematics, Panel Data: Analysis and Applications for the Social Sciences, Research Seminar ""Population and Development"", Statistical Analysis II, Анализ категориальных данных в статистических пакетах, Введение в многомерный статистический анализ, Дополнительные главы теории вероятностей и математической статистики, Количественные методы анализа данных, Математические и статистические методы в психологии, Методы анализа неоднородных данных, Методы анализа неоднородных данных и паттерн-анализ, Многомерный статистический анализ, Многомерный статистический анализ в политологии, Основы высшей математики и статистики, Проблемы эндогенности в экономико-социологических исследованиях, Регрессионный анализ: панельные данные и каузальность, Теория вероятностей и математическая статистика",https://www.hse.ru/mirror/org/persons/redir/14292437?pl=
Семушкина Екатерина Сергеевна,1,0,2022,"политический трансфер, диффузия политики, современная российская политика, региональная политика, качество государственного управления",английский,1,"Comparative Politics, Политика и общество в европейских странах",https://www.hse.ru/mirror/org/persons/redir/208523872?pl=
Скриба Андрей Сергеевич,1,1,2013,"внешняя политика России, Отношения России и ЕС, Отношения на постсоветском пространстве, Геополитика в Арктике, политическая география, суверенитет в теории и практике, империя и национализм, ""мягкая сила""","английский, немецкий, белорусский, братерский",37,"Foreign Policy Analysis, International Political Economy, Introduction to Contemporary Geopolitics, Introduction to International Relations, Political Geography, Russia in Eurasian Security Architecture, World Regional Geography, Методология исследований международных отношений и внешней политики, Научно-исследовательский семинар ""Политические и экономические проблемы постсоветского пространства"", Россия в системе современной мировой политики",https://www.hse.ru/mirror/org/persons/redir/69185387?pl=
Смирнов Никита Максимович,0,0,2020,"политическая теория, социология высшего образования, компьютерная обработка естественного языка, кризис российской аспирантуры, социальная философия науки","английский, французский",2,"Data Culture, Культура работы с данными, Научно-исследовательский семинар: Подготовка к выбору курсовой работы, Основания нормативного мышления о современной политике, Политическая теория",https://www.hse.ru/mirror/org/persons/redir/225579304?pl=
Сорокин Дмитрий Алексеевич,1,0,2017,"Сравнительная политика, международные санкции, политические режимы, демократия и авторитаризм, молодежная политика, политические партии, выборы, популизм",английский,5,"Sanctions Past and Present: History, Approaches, Data, Научно-исследовательский семинар, Научно-исследовательский семинар: проектная деятельность, Основы прикладных политических исследований и экспертизы, Политические исследования в интересах кандидатов и партий, Политические исследования и экспертиза в интересах органов власти, Профориентационный семинар",https://www.hse.ru/mirror/org/persons/redir/190916236?pl=
Стефанова Анастасия Стефановна,1,0,2017,"Project management, intercultural communication, international management","английский, китайский, болгарский, врадий",1,"Corporate Culture and Business Communication, Intercultural Aspects of Corporate Communication, Project Management in Intercultural Contexts",https://www.hse.ru/mirror/org/persons/redir/190916991?pl=
Стукал Денис Константинович,1,1,2008,"социальные медиа, политическое поведение, анализ данных в социальных науках, Машинное обучение и анализ данных","английский, испанский, немецкий",46,"Foreign Policy Analysis, Political Science, Введение в регрессионный анализ, Линейная алгебра, Линейная алгебра и приложения в многомерной статистике, Методы машинного обучения, Научно-исследовательский семинар, Основы анализа данных в Python",https://www.hse.ru/mirror/org/persons/redir/245400?pl=
Сухова Марина Сергеевна,1,0,2016,"электоральный анализ, политическая регионалистика, партийные системы","английский, русский, туровский",11,"Политическая регионалистика, Политические и электоральные процессы в Африке, Электоральный анализ",https://www.hse.ru/mirror/org/persons/redir/137338347?pl=
Тамбовцева Алла Андреевна,0,0,2014,"16.31.21 Автоматическая обработка текста. Автоматический перевод. Автоматическое распознавание речи, 83.77.00 Методы и средства сбора, обработки и анализа статистической информации","английский, испанский, французский, словенский",2,"Data Analysis in the Social Sciences, Preprocessing of linguistic data in Python, Python Programming, Python as a Tool for Data Collection and Analysis, Анализ данных на Python, Введение в многомерный статистический анализ, Введение в регрессионный анализ, Введение в теорию вероятностей и математическую статистику, Дополнительные главы теории вероятностей и математической статистики, Линейная алгебра и приложения в многомерной статистике, Математика и статистика, Математические и статистические методы в психологии, Математические основы анализа данных, Основы анализа данных в Python, Основы прикладной математики и информатики, Основы программирования в Python, Основы программирования в R, Основы теории вероятностей и математической статистики, Практикум: Web-scraping: сбор данных из баз данных и интернет-источников, Программирование для анализа данных, Программирование для всех (основы работы с Python), Программирование и анализ данных, Программирование на Python, Семинар ""Основы работы с количественными данными""",https://www.hse.ru/mirror/org/persons/redir/65853320?pl=
Телин Кирилл Олегович,0,0,2023,"политическая стабильность, идентичность, государственная политика, федерализм и местное самоуправление","английский, французский",17,"Политический менеджмент, Политическое управление",https://www.hse.ru/mirror/org/persons/redir/859147634?pl=
Туманова Анастасия Сергеевна,0,1,2008,"история и теория гражданского общества и конституционных реформ, социальная история России периода империи, политическая история России имперского периода, становление публичной сферы в России, история российского права имперского периода","английский, каменский",152,"Human Rights for Open Societies, История России, История государства и права, История государства и права России, Научно - исслкедовательский семинар"" Права человека в политико-правовом дискурсе Нового времени"", Научно- исследовательский семинар «Права человека в России: от доктрины к институту», Научно-исследовательский семинар, Научно-исследовательский семинар ""Актуальные проблемы истории, теории и философии права"", Научно-исследовательский семинар ""Права человека в политико-правовом дискурсе Нового времени"", Научно-исследовательский семинар ""Становление публичной сферы в России"", Научно-исследовательский семинар «Права человека в России: от доктрины к институту», Семинар наставника, Экономический анализ права",https://www.hse.ru/mirror/org/persons/redir/3979698?pl=
Туровский Ростислав Феликсович,0,1,2009,"политическая регионалистика, региональная политика, электоральная география, Политические партии и партийные системы, федерализм","английский, сербский",138,"Политическая регионалистика, Электоральный анализ",https://www.hse.ru/mirror/org/persons/redir/67524?pl=
Фергюсон Йен Эндрю,1,1,2016,"международные отношения, теория международных отношений, международный порядок, международная безопасность, Исследования безопасности, российская внешняя политика, Русская международная политическая мысль, европейская внешняя, Отношения ЕС и России, особые отношения, новый регионализм, глобальное управление, анализ речи, мировой порядок, политическая идеология, внешнеполитическая идеология","английский, русский",5,"Interpretive research in political science: theory and methods, Introduction to International Relations, Postgraduate seminar, Research Methods in International Relations, The EU–Russia Politics of Global Strategy, The Political Theory, The Theory of International Relations, The international politics of security strategies: The EU, Russia and strategic studies, World Politics and International Relations, Актуальные проблемы современной политики",https://www.hse.ru/mirror/org/persons/redir/224103064?pl=
Филимонов Дмитрий Андреевич,0,1,2013,"дифференциальные уравнения, динамические системы, языки Арнольда, диффеоморфизм окружности, системы с запаздывающим переключением","английский, французский, немецкий, испанский",18,"Высшая математика, Линейная алгебра и математический анализ, Математика и статистика, Теория вероятностей и математическая статистика",https://www.hse.ru/mirror/org/persons/redir/63890353?pl=
Чебанова Дарья Сергеевна,0,0,2023,"национальная идентичность, региональная идентичность, качественные методы в социальных исследованиях, транспонирование","английский, французский",2,"Научно-исследовательский семинар, Научно-исследовательский семинар: Основы академической работы",https://www.hse.ru/mirror/org/persons/redir/305134332?pl=
Чертенков Кирилл Олегович,1,0,2021,"социальная политика, Северный Кавказ, демографические показатели, брачность, регионы России, демография, Лыткарино",английский,2,"Демография, Политическая демография",https://www.hse.ru/mirror/org/persons/redir/401661181?pl=
Чеснаков Алексей Александрович,0,1,2019,"методология политической науки, Политический анализ и исследования политических курсов, практическая аналитика, современная российская политика",английский,0,"Политическая экспертиза, Политические исследования и экспертиза в интересах органов власти, Профориентационный семинар, Современная российская политика",https://www.hse.ru/mirror/org/persons/redir/307094538?pl=
Шипи Элиф Аладдиновна,1,0,2018,"политические коммуникации, медиапотребление, российско-турецкие отношения, онлайн-коммуникации, политический фрейминг, медиаэффекты","английский, турецкий, французский",1,"Introduction to Global Communication, Интегрированные коммуникации, Медиа и политика, Медиаэффекты и медиапотребление, Научно-исследовательский семинар - 1",https://www.hse.ru/mirror/org/persons/redir/208534550?pl=
Юзбекова Карина Шамильевна,1,0,2020,"российский федерализм, региональная политика, политическая риторика",английский,1,"Comparative Politics, Political Regional Studies",https://www.hse.ru/mirror/org/persons/redir/225596192?pl=
